"district_ID","distance_travelled","cost_cubic_meter"
"YE1302",4,1333
"YE1303",4,1333
"YE1306",4,1500
"YE1309",2,1800
"YE1310",10,1150
"YE1413",6,4500
"YE1508",20,1683
"YE1512",9.5,2000
"YE1514",20,3500
"YE1520",9,2000
"YE1521",10,2000
"YE1522",15,1600
"YE1713",20,3000
"YE1715",25,7000
"YE1722",17.5,3250
"YE1724",10,3000
"YE1802",10,4000
"YE1806",10,2500
"YE1807",20,1250
"YE1810",6,850
"YE1817",5,1750
"YE1820",8.5,2000
"YE2007",5,3500
"YE2113",27,960
"YE2114",8.5,3000
"YE2203",20,500
"YE2204",20,1200
"YE2205",35,1000
"YE2209",7,3500
"YE2301",9,950
"YE2302",10,1400
"YE2303",10,1500
"YE2304",9,1125
"YE2305",7,4500
"YE2307",7,4200
"YE2312",2,2000
"YE2404",10,3250
"YE2408",10,5000
"YE2508",12,1500
"YE2515",12.5,500
"YE2912",10,1200
"YE2915",10,900
"YE3201",20,800
